#bPlast TAM ID |bPlast TAM Chan | bPlast Det| bPlast Ch
0	0	1	0
0	1	1	1
0	2	1	2
0	3	1	3
0	4	1	4
0	5	1	5
0	6	1	6
0	7	1	7
0	8	1	8
0	9	1	9
0	10	1	10
0	11	1	11
0	12	1	12
0	13	1	13
0	14	1	14
0	15	1	15
1	0	1	16
1	1	1	17
1	2	1	18
1	3	1	19
1	4	1	20
1	5	1	21
1	6	1	22
1	7	1	23
1	8	1	24
1	9	1	25
1	10	1	26
1	11	1	27
1	12	1	28
1	13	1	29
1	14	1	30
1	15	1	31
2	0	1	32
2	1	1	33
2	2	1	34
2	3	1	35
2	4	1	36
2	5	1	37
2	6	1	38
2	7	1	39
2	8	1	40
2	9	1	41
2	10	1	42
2	11	1	43
2	12	1	44
2	13	1	45
2	14	1	46
2	15	1	47
3	0	1	48
3	1	1	49
3	2	1	50
3	3	1	51
3	4	1	52
3	5	1	53
3	6	1	54
3	7	1	55
3	8	1	56
3	9	1	57
3	10	1	58
3	11	1	59
3	12	1	60
3	13	1	61
3	14	1	62
3	15	1	63
#LYSO
4	0	2	0
4	1	2	1
4	2	2	2
4	3	2	3
4	4	2	4
4	5	2	5
4	6	2	6
4	7	2	7
4	8	2	8
4	9	2	9
4	10	2	10
4	11	2	11
4	12	2	12
4	13	2	13
4	14	2	14
4	15	2	15
5	0	2	16
5	1	2	17
5	2	2	18
5	3	2	19
5	4	2	20
5	5	2	21
5	6	2	22
5	7	2	23
5	8	2	24
5	9	2	25
5	10	2	26
5	11	2	27
5	12	2	28
5	13	2	29
5	14	2	30
5	15	2	31
